Amostra ;Amostra arq.;Espécies;Sepal length (cm);Sepal width (cm);Petal length (cm);Petal width (cm);Site;Latitude;Longitude;Data
A24;A38;Iris setosa;4.9;3.6;1.4;0.1;Site2;48.540.502;-64.766.512;1930-02-13
A148;A142;Iris virginica;6.9;3.1;5.1;2.3;Site3;48.329.837;-65.512.333;1929-12-01
A70;A59;Iris versicolor;6.6;2.9;4.6;1.3;Site2;48.540.502;-64.766.512;1930-02-13
A16;A15;Iris setosa;5.8;4;1.2;0.2;Site1;48.935.966;-64.840.984;1929-12-01
A67;A99;Iris versicolor;5.1;2.5;3;1.1;Site1;48.935.966;-64.840.984;1929-12-01
A144;A130;Iris virginica;7.2;3;5.8;1.6;Site3;48.329.837;-65.512.333;1929-12-01
A92;A76;Iris versicolor;6.6;3;4.4;1.4;Site3;48.329.837;-65.512.333;1929-12-01
A108;A123;Iris virginica;7.7;2.8;6.7;2;Site1;48.935.966;-64.840.984;1929-12-01
A112;A135;Iris virginica;6.1;2.6;5.6;1.4;Site1;48.935.966;-64.840.984;1929-12-01
A81;A92;Iris versicolor;6.1;3;4.6;1.4;Site2;48.540.502;-64.766.512;1930-02-13
A51;A51;Iris versicolor;7;3.2;4.7;1.4;Site1;48.935.966;-64.840.984;1929-12-01
A75;A74;Iris versicolor;6.1;2.8;4.7;1.2;Site2;48.540.502;-64.766.512;1930-02-13
A32;A11;Iris setosa;5.4;3.7;1.5;0.2;Site2;48.540.502;-64.766.512;1930-02-13
A34;A19;Iris setosa;5.7;3.8;1.7;0.3;Site3;48.329.837;-65.512.333;1929-12-01
A52;A54;Iris versicolor;5.5;2.3;4;1.3;Site1;48.935.966;-64.840.984;1929-12-01
