Amostra;Amostra2;Especie;Site;Latitude;Longitude;Data;Sepal_length_cm;Sepal_width_cm;Petal_length_cm;Petal_width_cm
A2;A21;Iris_setosa;Site1;48.935966;-64.840984;01/12/1929;5.4;3.4;1.7;0.2
A6;A33;Iris_setosa;Site1;48.935966;-64.840984;01/12/1929;5.2;4.1;1.5;0.1
A8;A39;Iris_setosa;Site1;48.935966;-64.840984;01/12/1929;4.4;3;1.3;0.2
A19;A23;Iris_setosa;Site2;48.540502;-64.766512;13/02/1930;4.6;3.6;1;0.2
A28;A50;Iris_setosa;Site2;48.540502;-64.766512;13/02/1930;5;3.3;1.4;0.2
A30;A5;Iris_setosa;Site2;48.540502;-64.766512;13/02/1930;5;3.6;1.4;0.2
A35;A22;Iris_setosa;Site3;48.329837;-65.512333;01/12/1929;5.1;3.7;1.5;0.4
A43;A46;Iris_setosa;Site3;48.329837;-65.512333;01/12/1929;4.8;3;1.4;0.3
A74;A71;Iris_versicolor;Site2;48.540502;-64.766512;13/02/1930;5.9;3.2;4.8;1.8
A94;A82;Iris_versicolor;Site3;48.329837;-65.512333;01/12/1929;5.5;2.4;3.7;1
A99;A97;Iris_versicolor;Site3;48.329837;-65.512333;01/12/1929;5.7;2.9;4.2;1.3
A119;A104;Iris_virginica;Site2;48.540502;-64.766512;13/02/1930;6.3;2.9;5.6;1.8
A125;A122;Iris_virginica;Site2;48.540502;-64.766512;13/02/1930;5.6;2.8;4.9;2
A126;A125;Iris_virginica;Site2;48.540502;-64.766512;13/02/1930;6.7;3.3;5.7;2.1
A138;A112;Iris_virginica;Site3;48.329837;-65.512333;01/12/1929;6.4;2.7;5.3;1.9
